N;Уровень(см);Объем(м3)
0;0;0
1;1;4.27
2;2;3.416
3;3;5.126
4;4;6.834
5;5;8.542
6;6;10.25
7;7;11.958
8;8;13.666
9;9;15.376
10;10;17.078
11;11;18.578
12;12;19.952
13;13;21.27
14;14;22.574
15;15;23.896
16;16;25.256
17;17;26.674
18;18;28.146
19;19;29.68
20;20;31.29
21;21;32.964
22;22;34.648
23;23;36.332
24;24;38.016
25;25;39.614
26;26;41.012
27;27;42.328
28;28;43.626
29;29;44.934
30;30;46.274
31;31;47.66
32;32;49.11
33;33;50.632
34;34;52.228
35;35;53.9
36;36;55.608
37;37;57.316
38;38;59.024
39;39;60.732
40;40;62.442
41;41;64.15
42;42;65.844
43;43;67.53
44;44;69.228
45;45;70.918
46;46;72.608
47;47;74.3
48;48;75.992
49;49;77.69
50;50;79.39
51;51;81.096
52;52;82.806
53;53;84.52
54;54;86.236
55;55;87.952
56;56;89.666
57;57;91.38
58;58;93.094
59;59;94.808
60;60;96.52
61;61;98.234
62;62;99.946
63;63;101.658
64;64;103.372
65;65;105.084
66;66;106.794
67;67;108.506
68;68;110.218
69;69;111.93
70;70;113.642
71;71;115.352
72;72;117.064
73;73;118.774
74;74;120.486
75;75;122.196
76;76;123.908
77;77;125.618
78;78;127.33
79;79;129.04
80;80;130.752
81;81;132.462
82;82;134.174
83;83;135.884
84;84;137.596
85;85;139.306
86;86;141.018
87;87;142.728
88;88;144.44
89;89;146.15
90;90;147.862
91;91;149.572
92;92;151.284
93;93;152.996
94;94;154.708
95;95;156.422
96;96;158.134
97;97;159.848
98;98;161.562
99;99;163.274
100;100;164.986
101;101;166.698
102;102;168.412
103;103;170.124
104;104;171.838
105;105;173.552
106;106;175.262
107;107;176.972
108;108;178.684
109;109;180.396
110;110;182.106
111;111;183.816
112;112;185.528
113;113;187.238
114;114;188.948
115;115;190.656
116;116;192.364
117;117;194.074
118;118;195.782
119;119;197.492
120;120;199.202
121;121;200.91
122;122;202.618
123;123;204.328
124;124;206.036
125;125;207.746
126;126;209.456
127;127;211.164
128;128;212.872
129;129;214.58
130;130;216.288
131;131;217.998
132;132;219.706
133;133;221.416
134;134;223.124
135;135;224.83
136;136;226.54
137;137;228.246
138;138;229.952
139;139;231.66
140;140;233.368
141;141;235.076
142;142;236.784
143;143;238.492
144;144;240.2
145;145;241.908
146;146;243.614
147;147;245.322
148;148;247.03
149;149;248.736
150;150;250.444
151;151;252.152
152;152;253.862
153;153;255.572
154;154;257.28
155;155;258.988
156;156;260.696
157;157;262.404
158;158;264.112
159;159;265.82
160;160;267.53
161;161;269.24
162;162;270.95
163;163;272.66
164;164;274.368
165;165;276.076
166;166;277.786
167;167;279.496
168;168;281.206
169;169;282.914
170;170;284.624
171;171;286.332
172;172;288.042
173;173;289.752
174;174;291.462
175;175;293.174
176;176;294.884
177;177;296.594
178;178;298.302
179;179;300.012
180;180;301.722
181;181;303.432
182;182;305.142
183;183;306.85
184;184;308.56
185;185;310.27
186;186;311.98
187;187;313.69
188;188;315.4
189;189;317.11
190;190;318.822
191;191;320.532
192;192;322.242
193;193;323.95
194;194;325.66
195;195;327.372
196;196;329.082
197;197;330.792
198;198;332.502
199;199;334.212
200;200;335.92
201;201;337.63
202;202;339.34
203;203;341.05
204;204;342.76
205;205;344.47
206;206;346.18
207;207;347.892
208;208;349.602
209;209;351.312
210;210;353.022
211;211;354.732
212;212;356.442
213;213;358.152
214;214;359.862
215;215;361.57
216;216;363.28
217;217;364.99
218;218;366.702
219;219;368.412
220;220;370.122
221;221;371.834
222;222;373.544
223;223;375.254
224;224;376.964
225;225;378.674
226;226;380.384
227;227;382.096
228;228;383.806
229;229;385.516
230;230;387.226
231;231;388.936
232;232;390.644
233;233;392.354
234;234;394.064
235;235;395.774
236;236;397.484
237;237;399.194
238;238;400.904
239;239;402.614
240;240;404.322
241;241;406.032
242;242;407.742
243;243;409.452
244;244;411.162
245;245;412.872
246;246;414.58
247;247;416.29
248;248;418
249;249;419.71
250;250;421.418
251;251;423.128
252;252;424.838
253;253;426.548
254;254;428.258
255;255;429.968
256;256;431.678
257;257;433.386
258;258;435.096
259;259;436.806
260;260;438.516
261;261;440.224
262;262;441.934
263;263;443.644
264;264;445.356
265;265;447.064
266;266;448.774
267;267;450.484
268;268;452.192
269;269;453.902
270;270;455.612
271;271;457.32
272;272;459.03
273;273;460.738
274;274;462.448
275;275;464.158
276;276;465.866
277;277;467.576
278;278;469.284
279;279;470.992
280;280;472.7
281;281;474.408
282;282;476.116
283;283;477.826
284;284;479.534
285;285;481.242
286;286;482.95
287;287;484.658
288;288;486.364
289;289;488.072
290;290;489.778
291;291;491.486
292;292;493.194
293;293;494.9
294;294;496.608
295;295;498.316
296;296;500.022
297;297;501.728
298;298;503.436
299;299;505.144
300;300;506.85
301;301;508.558
302;302;510.266
303;303;511.974
304;304;513.682
305;305;515.39
306;306;517.098
307;307;518.806
308;308;520.514
309;309;522.224
310;310;523.932
311;311;525.64
312;312;527.35
313;313;529.06
314;314;530.768
315;315;532.478
316;316;534.186
317;317;535.896
318;318;537.604
319;319;539.314
320;320;541.022
321;321;542.732
322;322;544.442
323;323;546.15
324;324;547.86
325;325;549.568
326;326;551.278
327;327;552.988
328;328;554.698
329;329;556.406
330;330;558.116
331;331;559.826
332;332;561.536
333;333;563.246
334;334;564.956
335;335;566.666
336;336;568.376
337;337;570.086
338;338;571.796
339;339;573.506
340;340;575.216
341;341;576.926
342;342;578.636
343;343;580.348
344;344;582.058
345;345;583.768
346;346;585.478
347;347;587.188
348;348;588.9
349;349;590.61
350;350;592.32
351;351;594.032
352;352;595.742
353;353;597.452
354;354;599.162
355;355;600.872
356;356;602.582
357;357;604.294
358;358;606.004
359;359;607.714
360;360;609.426
361;361;611.136
362;362;612.846
363;363;614.558
364;364;616.268
365;365;617.98
366;366;619.69
367;367;621.4
368;368;623.112
369;369;624.822
370;370;626.532
371;371;628.244
372;372;629.956
373;373;631.666
374;374;633.376
375;375;635.088
376;376;636.798
377;377;638.508
378;378;640.22
379;379;641.93
380;380;643.64
381;381;645.35
382;382;647.06
383;383;648.77
384;384;650.48
385;385;652.19
386;386;653.9
387;387;655.61
388;388;657.32
389;389;659.028
390;390;660.738
391;391;662.448
392;392;664.158
393;393;665.868
394;394;667.578
395;395;669.288
396;396;670.998
397;397;672.708
398;398;674.418
399;399;676.128
400;400;677.838
401;401;679.548
402;402;681.258
403;403;682.968
404;404;684.678
405;405;686.388
406;406;688.1
407;407;689.81
408;408;691.52
409;409;693.23
410;410;694.94
411;411;696.652
412;412;698.362
413;413;700.07
414;414;701.782
415;415;703.492
416;416;705.202
417;417;706.914
418;418;708.624
419;419;710.334
420;420;712.044
421;421;713.754
422;422;715.464
423;423;717.174
424;424;718.884
425;425;720.594
426;426;722.304
427;427;724.014
428;428;725.724
429;429;727.434
430;430;729.144
431;431;730.854
432;432;732.562
433;433;734.272
434;434;735.982
435;435;737.69
436;436;739.4
437;437;741.11
438;438;742.82
439;439;744.528
440;440;746.238
441;441;747.946
442;442;749.656
443;443;751.364
444;444;753.074
445;445;754.78
446;446;756.488
447;447;758.196
448;448;759.906
449;449;761.616
450;450;763.326
451;451;765.034
452;452;766.744
453;453;768.454
454;454;770.164
455;455;771.872
456;456;773.58
457;457;775.29
458;458;776.998
459;459;778.708
460;460;780.418
461;461;782.128
462;462;783.836
463;463;785.546
464;464;787.254
465;465;788.964
466;466;790.674
467;467;792.384
468;468;794.094
469;469;795.804
470;470;797.514
471;471;799.224
472;472;800.934
473;473;802.644
474;474;804.354
475;475;806.064
476;476;807.774
477;477;809.484
478;478;811.194
479;479;812.904
480;480;814.614
481;481;816.326
482;482;818.036
483;483;819.746
484;484;821.456
485;485;823.164
486;486;824.874
487;487;826.586
488;488;828.296
489;489;830.006
490;490;831.716
491;491;833.426
492;492;835.136
493;493;836.846
494;494;838.556
495;495;840.268
496;496;841.978
497;497;843.688
498;498;845.398
499;499;847.108
500;500;848.818
501;501;850.53
502;502;852.24
503;503;853.95
504;504;855.662
505;505;857.372
506;506;859.082
507;507;860.794
508;508;862.504
509;509;864.214
510;510;865.926
511;511;867.636
512;512;869.346
513;513;871.058
514;514;872.768
515;515;874.478
516;516;876.19
517;517;877.9
518;518;879.61
519;519;881.32
520;520;883.03
521;521;884.742
522;522;886.452
523;523;888.162
524;524;889.872
525;525;891.584
526;526;893.294
527;527;895.006
528;528;896.716
529;529;898.428
530;530;900.138
531;531;901.85
532;532;903.56
533;533;905.272
534;534;906.984
535;535;908.694
536;536;910.406
537;537;912.116
538;538;913.826
539;539;915.538
540;540;917.248
541;541;918.96
542;542;920.67
543;543;922.38
544;544;924.09
545;545;925.802
546;546;927.512
547;547;929.224
548;548;930.934
549;549;932.644
550;550;934.354
551;551;936.064
552;552;937.776
553;553;939.486
554;554;941.196
555;555;942.908
556;556;944.616
557;557;946.328
558;558;948.038
559;559;949.75
560;560;951.46
561;561;953.168
562;562;954.88
563;563;956.59
564;564;958.302
565;565;960.012
566;566;961.724
567;567;963.434
568;568;965.144
569;569;966.854
570;570;968.564
571;571;970.274
572;572;971.984
573;573;973.694
574;574;975.404
575;575;977.114
576;576;978.824
577;577;980.532
578;578;982.242
579;579;983.952
580;580;985.66
581;581;987.37
582;582;989.078
583;583;990.786
584;584;992.494
585;585;994.202
586;586;995.91
587;587;997.62
588;588;999.328
589;589;1001.036
590;590;1002.742
591;591;1004.45
592;592;1006.158
593;593;1007.866
594;594;1009.574
595;595;1011.282
596;596;1012.988
597;597;1014.696
598;598;1016.406
599;599;1018.112
600;600;1019.82
601;601;1021.528
602;602;1023.236
603;603;1024.944
604;604;1026.654
605;605;1028.362
606;606;1030.072
607;607;1031.78
608;608;1033.488
609;609;1035.198
610;610;1036.906
611;611;1038.616
612;612;1040.326
613;613;1042.036
614;614;1043.744
615;615;1045.454
616;616;1047.162
617;617;1048.872
618;618;1050.582
619;619;1052.292
620;620;1054.002
621;621;1055.71
622;622;1057.42
623;623;1059.13
624;624;1060.84
625;625;1062.55
626;626;1064.258
627;627;1065.968
628;628;1067.678
629;629;1069.388
630;630;1071.1
631;631;1072.81
632;632;1074.52
633;633;1076.23
634;634;1077.94
635;635;1079.65
636;636;1081.362
637;637;1083.072
638;638;1084.782
639;639;1086.492
640;640;1088.202
641;641;1089.914
642;642;1091.624
643;643;1093.334
644;644;1095.044
645;645;1096.754
646;646;1098.466
647;647;1100.176
648;648;1101.886
649;649;1103.596
650;650;1105.308
651;651;1107.018
652;652;1108.728
653;653;1110.44
654;654;1112.152
655;655;1113.862
656;656;1115.574
657;657;1117.284
658;658;1118.996
659;659;1120.706
660;660;1122.416
661;661;1124.128
662;662;1125.838
663;663;1127.55
664;664;1129.26
665;665;1130.97
666;666;1132.68
667;667;1134.392
668;668;1136.102
669;669;1137.814
670;670;1139.524
671;671;1141.234
672;672;1142.946
673;673;1144.656
674;674;1146.368
675;675;1148.078
676;676;1149.788
677;677;1151.498
678;678;1153.208
679;679;1154.92
680;680;1156.63
681;681;1158.34
682;682;1160.052
683;683;1161.762
684;684;1163.472
685;685;1165.184
686;686;1166.894
687;687;1168.606
688;688;1170.316
689;689;1172.028
690;690;1173.738
691;691;1175.45
692;692;1177.16
693;693;1178.872
694;694;1180.582
695;695;1182.292
696;696;1184.002
697;697;1185.712
698;698;1187.422
699;699;1189.132
700;700;1190.844
701;701;1192.554
702;702;1194.264
703;703;1195.974
704;704;1197.684
705;705;1199.396
