N;Уровень(см);Объем(м3)
0;0;0
1;1;0.854
2;2;1.708
3;3;2.563
4;4;3.417
5;5;4.271
6;6;5.125
7;7;5.979
8;8;6.833
9;9;7.688
10;10;8.539
11;11;9.289
12;12;9.976
13;13;10.635
14;14;11.287
15;15;11.948
16;16;12.628
17;17;13.337
18;18;14.073
19;19;14.84
20;20;15.645
21;21;16.482
22;22;17.324
23;23;18.166
24;24;19.008
25;25;19.807
26;26;20.506
27;27;21.164
28;28;21.813
29;29;22.467
30;30;23.137
31;31;23.83
32;32;24.555
33;33;25.316
34;34;26.114
35;35;26.95
36;36;27.804
37;37;28.658
38;38;29.512
39;39;30.366
40;40;31.221
41;41;32.075
42;42;32.922
43;43;33.765
44;44;34.614
45;45;35.459
46;46;36.304
47;47;37.15
48;48;37.996
49;49;38.845
50;50;39.695
51;51;40.548
52;52;41.403
53;53;42.26
54;54;43.118
55;55;43.976
56;56;44.833
57;57;45.69
58;58;46.547
59;59;47.404
60;60;48.26
61;61;49.117
62;62;49.973
63;63;50.829
64;64;51.686
65;65;52.542
66;66;53.397
67;67;54.253
68;68;55.109
69;69;55.965
70;70;56.821
71;71;57.676
72;72;58.532
73;73;59.387
74;74;60.243
75;75;61.098
76;76;61.954
77;77;62.809
78;78;63.665
79;79;64.52
80;80;65.376
81;81;66.231
82;82;67.087
83;83;67.942
84;84;68.798
85;85;69.653
86;86;70.509
87;87;71.364
88;88;72.22
89;89;73.075
90;90;73.931
91;91;74.786
92;92;75.642
93;93;76.498
94;94;77.354
95;95;78.211
96;96;79.067
97;97;79.924
98;98;80.781
99;99;81.637
100;100;82.493
101;101;83.349
102;102;84.206
103;103;85.062
104;104;85.919
105;105;86.776
106;106;87.631
107;107;88.486
108;108;89.342
109;109;90.198
110;110;91.053
111;111;91.908
112;112;92.764
113;113;93.619
114;114;94.474
115;115;95.328
116;116;96.182
117;117;97.037
118;118;97.891
119;119;98.746
120;120;99.601
121;121;100.455
122;122;101.309
123;123;102.164
124;124;103.018
125;125;103.873
126;126;104.728
127;127;105.582
128;128;106.436
129;129;107.29
130;130;108.144
131;131;108.999
132;132;109.853
133;133;110.708
134;134;111.562
135;135;112.415
136;136;113.27
137;137;114.123
138;138;114.976
139;139;115.83
140;140;116.684
141;141;117.538
142;142;118.392
143;143;119.246
144;144;120.1
145;145;120.954
146;146;121.807
